YYYYMM,USD,EUR,GBP,NZD,SGD,CAD,Cash Rate Target
200602,0.7409749999999999,0.620425,0.42388000000000003,0.907175,1.20685,0.8510899999999999,5.5
200603,0.7266434782608696,0.6039043478260869,0.41647826086956524,0.8724652173913043,1.1777782608695653,0.8403739130434783,5.5
200604,0.73661,0.5995250000000001,0.41627000000000003,0.8428699999999999,1.17883,0.8421350000000001,5.5
200605,0.7632956521739132,0.5976478260869565,0.40835652173913045,0.8264652173913044,1.2029869565217393,0.8467086956521739,5.75
200606,0.7395863636363637,0.5838727272727273,0.4011409090909091,0.8351090909090909,1.1764227272727272,0.8238454545454545,5.75
200607,0.7520904761904762,0.5924952380952381,0.4076476190476191,0.8202047619047619,1.190952380952381,0.8485999999999999,5.75
200608,0.7628608695652174,0.5955086956521739,0.40285217391304345,0.8303086956521739,1.2016434782608696,0.8533869565217391,6.0
200609,0.7553619047619048,0.5932380952380952,0.4005238095238095,0.8655333333333334,1.1931,0.8428523809523809,6.0
200610,0.7539090909090909,0.5972272727272727,0.40172272727272723,0.8774772727272727,1.1893227272727271,0.8502636363636363,6.0
200611,0.7727545454545454,0.5994454545454545,0.4040590909090909,0.8654636363636363,1.201940909090909,0.8780863636363637,6.25
200612,0.7852,0.594747619047619,0.3998238095238095,0.8815952380952381,1.2094476190476189,0.9054666666666668,6.25
200702,0.7826521739130435,0.6020652173913044,0.39956956521739134,0.8878304347826088,1.2029956521739131,0.9196,6.25
200703,0.782975,0.59816,0.399695,0.88508,1.2002000000000002,0.91631,6.25
200704,0.7927863636363636,0.5981636363636363,0.40693181818181823,0.8802590909090909,1.2081681818181818,0.9264227272727272,6.25
200705,0.8273428571428573,0.6121714285714286,0.4161285714285714,0.8874333333333333,1.2531428571428571,0.9389285714285714,6.25
200706,0.8243869565217391,0.6101565217391304,0.4156130434782609,0.8875347826086957,1.255408695652174,0.9024173913043478,6.25
200707,0.8420714285714285,0.627195238095238,0.4237142857142857,0.8977761904761905,1.2940714285714285,0.8972,6.25
200708,0.8664772727272727,0.6313863636363636,0.4259045454545454,0.9055,1.31335,0.9109863636363635,6.5
200709,0.8296173913043478,0.6091,0.41256521739130436,0.8744434782608697,1.2630565217391305,0.8780130434782608,6.5
200710,0.8479850000000001,0.609055,0.41983,0.8499800000000001,1.280875,0.8694900000000001,6.5
200711,0.8996,0.6320086956521739,0.43976086956521737,0.8446260869565217,1.3178739130434782,0.8767086956521739,6.75
200712,0.8950818181818182,0.6098136363636364,0.43220454545454545,0.8516363636363636,1.2950545454545455,0.8657727272727272,6.75
200802,0.8712714285714286,0.5988238095238095,0.4325047619047619,0.8808761904761905,1.262290476190476,0.8722142857142858,7.0
200803,0.8817173913043478,0.5990652173913044,0.44754347826086954,0.8757521739130434,1.2618521739130435,0.8906521739130434,7.25
200804,0.9132952380952382,0.6187523809523809,0.4649809523809524,0.8711666666666666,1.2882,0.9128523809523809,7.25
200805,0.9222857142857143,0.5940238095238095,0.4608095238095238,0.8673761904761905,1.2762857142857142,0.9248142857142857,7.25
200806,0.9312590909090909,0.5908045454545454,0.4699045454545454,0.8477409090909092,1.269190909090909,0.9430181818181819,7.25
200807,0.9496136363636364,0.6102318181818182,0.4829045454545455,0.8193136363636363,1.2961545454545453,0.9492545454545455,7.25
200808,0.9512809523809524,0.6109285714285714,0.4834380952380953,0.8014047619047618,1.3006,0.9673285714285714,7.25
200809,0.9617260869565216,0.6100217391304348,0.48336521739130434,0.7855521739130435,1.3067478260869565,0.9742869565217391,7.0
200810,0.8809809523809523,0.5890380952380952,0.4668857142857143,0.8039523809523809,1.2372904761904762,0.9279333333333333,6.0
200811,0.8176454545454545,0.5693954545454546,0.45456363636363634,0.8222590909090909,1.1689181818181817,0.8649272727272728,5.25
200812,0.6865913043478261,0.5163565217391304,0.40606086956521736,0.8834782608695653,1.013086956521739,0.8076826086956521,4.25
200902,0.656445,0.515665,0.429085,0.8567500000000001,0.988825,0.799265,3.25
200903,0.6727434782608696,0.49678260869565216,0.45233043478260876,0.8307347826086956,0.9912521739130434,0.828108695652174,3.25
200904,0.6766545454545455,0.5091727272727273,0.46695454545454546,0.814059090909091,1.0064863636363637,0.8278181818181818,3.0
200905,0.649395,0.50712,0.45042,0.791995,0.9850450000000001,0.8080149999999999,3.0
200906,0.6670545454545455,0.5100318181818182,0.4695181818181818,0.7982454545454545,1.0191772727272728,0.8412772727272727,3.0
200907,0.7153772727272728,0.5417454545454545,0.48579545454545453,0.7989818181818182,1.075159090909091,0.8750863636363636,3.0
200908,0.7652714285714285,0.5597428571428571,0.4950380952380952,0.7856714285714285,1.1180714285714284,0.8791047619047619,3.0
200909,0.8014772727272728,0.5719363636363636,0.48930454545454544,0.7952954545454546,1.1643227272727275,0.903090909090909,3.0
200910,0.8051086956521738,0.5715521739130435,0.4911652173913043,0.8000304347826087,1.1664217391304348,0.9027304347826086,3.25
200911,0.8354285714285714,0.5855714285714286,0.5053571428571428,0.8094761904761905,1.204452380952381,0.9080571428571428,3.5
200912,0.8617363636363637,0.5916045454545454,0.5283,0.8157318181818183,1.2257090909090909,0.9311727272727274,3.75
201002,0.9065272727272727,0.6116772727272728,0.5596227272727273,0.8141454545454546,1.2664318181818182,0.9553636363636364,3.75
201003,0.9206190476190476,0.6167238095238096,0.5541904761904762,0.793052380952381,1.277842857142857,0.9742714285714285,4.0
201004,0.9009304347826087,0.6183391304347826,0.5553434782608696,0.7945478260869565,1.258,0.9504173913043479,4.25
