Year,Unemployment Rate (%),Annual Change
2006-01-01,4.78%,-0.25%
2007-01-01,4.38%,-0.40%
2008-01-01,4.23%,-0.15%
2009-01-01,5.56%,1.33%
2010-01-01,5.21%,-0.35%
2011-01-01,5.08%,-0.13%
2012-01-01,5.22%,0.14%
2013-01-01,5.66%,0.44%
2014-01-01,6.08%,0.42%
2015-01-01,6.05%,-0.03%
2016-01-01,5.71%,-0.34%
2017-01-01,5.59%,-0.12%
2018-01-01,5.30%,-0.29%
2019-01-01,5.16%,-0.14%
2020-01-01,6.61%,1.45%
